feature,importance
has_hex_encoding,748.383544921875
content_length,218.98757934570312
url_length,215.8263702392578
content-type,200.52685546875
contains_sql_injection,188.95655822753906
URL,179.80825805664062
path_depth,137.79136657714844
param_count,134.2263946533203
has_base64,132.30271911621094
contains_special_chars,128.38992309570312
query_length,128.0426025390625
content,119.38409423828125
method_PUT,91.25230407714844
content_special_chars,69.95368957519531
contains_command_injection,65.02735900878906
content_numbers,43.44027328491211
method_POST,39.35112762451172
contains_xss,23.493745803833008
cookie,1.8913826942443848
User-Agent,0.0
Cookie,0.0
method_GET,0.0
content_type_application,0.0
content_type_other,0.0
